"section","subsection","element","Value"
"Overview","Authorship","Study title","European distribution of common earthworm species"
"Overview","Authorship","Author names","Romy Zeiss; Carlos Antonio Guerra; Laura-Fiona Hepner; Jessica Dahlke; Jérome Mathieu; Ângela Lomba"
"Overview","Authorship","Contact ","romy.zeiss@idiv.de"
"Overview","Authorship","Study link",""
"Overview","Model objective","Model objective","Mapping and interpolation"
"Overview","Model objective","Target output","Maps of relative probability of presence, and of overall species richness (probability >60%)"
"Overview","Focal Taxon","Focal Taxon","Earthworms (Clitellata: Crassiclitellata)"
"Overview","Location","Location","Europe"
"Overview","Scale of Analysis","Spatial extent","32, 75, -7, 53 (xmin, xmax, ymin, ymax)"
"Overview","Scale of Analysis","Spatial resolution","1"
"Overview","Scale of Analysis","Temporal extent","2015 (datasets from different time periods between 2001-2021) and 2050 (future climate 2041-2070)"
"Overview","Scale of Analysis","Temporal resolution","1 year"
"Overview","Scale of Analysis","Boundary","political"
"Overview","Biodiversity data","Observation type","citizen science; field survey; standardised monitoring data"
"Overview","Biodiversity data","Response data type","point occurrence; presence-only"
"Overview","Predictors","Predictor types","climatic; edaphic; habitat; topographic"
"Overview","Hypotheses","Hypotheses","Earthworms are shown to be driven by climatic, topographic, habitat and edaphic factors (Mueller et al. 2016, Phillips et al. 2019). The main drivers of earthworm distribution are (1) soil moisture, which is related to the availability of water through precipitation and can also be expressed as aridity (proportion of precipitation to evapotranspiration), (2) chemical and physical soil properties, such as pH, cation and heavy metal concentrations as well as soil texture, but also (3) the amount of organic carbon in soil that serves as resource for earthworms. In addition, (4) topographic factors were shown to drive large-scale distribution of many organisms including earthworms (Phillips et al. 2019).

We included the following variables to represent climatic factors: Aridity Index, Mean annual precipitation (MAP), and Precipitation seasonality (MAP_seas), Mean annual temperature (MAT), Temperature seasonality (MAT_seas), mean of the yearly Nitrogen deposition (Nit_Depo), and Snow cover (i.e., number of days with snow cover). 
As habitat factors, we decided on the proportion of area covered by different land-use types, namely Agriculture, Forest, Pastures, and Shrubland. In addition, we included Distance to urban areas, Land fragmentation, and Population Density in our models. To account for topographic factors, we included Elevation, Aspect (i.e., direction of a slope), Slope, Latitude, as well as Distance to coast, and Distance to rivers. Finally, edaphic factors are depicted by Cation exchange capacity (CEC), soil texture expressed as Clay+Silt content, concentration of Copper (Cu), Mercury (Hg), Nitrogen (N), and Phosphorus (P), as well as pH in H20, and content of Soil organic carbon (SOC)."
"Overview","Assumptions","Model assumptions","Species-environment (pseudo-) equilibrium, No observation bias issues, Independence of species observations, Availability of all important predictors, Predictors are free of error, Niche stability/constancy & niche conservatism, No other extrapolation issues"
"Overview","Algorithms","Modelling techniques","maxent; biomod; ensemble"
"Overview","Algorithms","Model complexity",""
"Overview","Algorithms","Model averaging","For species with at least 100 records, we performed BIOMOD ensemble modelling using all 10 available algorithms to estimate average probability of presence (ROC as evaluation criteria). For species present in 10-99 grid cells, we used the Ensemble of Small Models (ESM) approach (Breiner et al. 2015, Methods in Ecol & Evol)."
"Overview","Workflow","Model workflow","Prior to model building, we standardized all predictor variables and used variance inflation (VIF) analysis to avoid highly correlated variables. We only included the top ten most important (MaxEnt pre-analysis) and weakly correlated (Pearson correlation) variables. 
Model fitting was done automatically as much as possible. In addition, we generated individual background data for the models to increase their performances. Predictive model performance was assessed using TSS, AUC(PRG) and AUC(ROC), and Kappa."
"Overview","Software","Software","R version 4.2.0 (R Core Team 2016). RStudio version 2022.02.3 (RStudio Team 2020). ArcGIS version 10.7.1 (Bajjali 2018)."
"Overview","Software","Code availability","The code is available at GitHub (XXX)."
"Overview","Software","Data availability","The input data are available at XXX."
"Data","Biodiversity data","Taxon names","We included European earthworm species (Clitellata: Crassiclitellata) that were present in at least 10 grid cells (cell size: 2x2km). The respective 52 species' names can be found in the Appendix."
"Data","Biodiversity data","Taxonomic reference system","GBIF: mainly  World List of Marine Oligochaeta (2021); Edaphobase: no further information; Phillips et al. 2019: DriloBASE and experts' classification; Mathieu et al. 2022: XXX"
"Data","Biodiversity data","Ecological level","species"
"Data","Biodiversity data","Data sources","Freely available data at GBIF (https://www.gbif.org/, DOI and accession date for each species can be found in the Supplementary to this paper) and EDAPHOBASE (https://portal.edaphobase.org/); dataset collected by Phillips et al. 2019 and dataset compiled by Jérome Mathieu."
"Data","Biodiversity data","Sampling design","opportunistic, volunteer-based recording schemes"
"Data","Biodiversity data","Sample size","Minimum sample size: present in 10 grid cells, that is 12 or more occurrence records per species."
"Data","Biodiversity data","Clipping","We clipped all data to the political boundary of Europe including 13 additional countries (Albania, Belarus, Bosnia-Herzegovina, Great Britain, Iceland, Kosovo, Mazedonia, Moldawia, Montenegro, Norway, Serbia, Switzerland, and Ukraine)."
"Data","Biodiversity data","Scaling","Spatial thinning: We defined presence/absence in each 2 x 2km grid cell across Europe based on the respective occurrence records per species using ArcGIS (Zonal Statistics) and R (raster::resample())."
"Data","Biodiversity data","Cleaning","Data filtering: Earthworm species that had less than 10 occurrence records were excluded from the modelling. We excluded records before 1970 and checked for spatial bias in occurrence coordinates using the R package CoordinateCleaner."
"Data","Biodiversity data","Absence data","No true absence data were used."
"Data","Biodiversity data","Background data","We generated random background points within the study area using the R package biomod2. We followed advice from Barbet-Massin et al. 2012 to calculate model-specific background data that were shown to increase predictive performance. If no model-specific advice was given, we used the 10,000 randomly sampled background points also used for GLM and GAM."
"Data","Biodiversity data","Errors and biases","Citizens science data can show bias regarding XXX (REF). Overall, occurrence data have been collected using different sampling effort and methodology leading to potential errors because of detection probability, sampling coverage, and sampling depth (e.g., soil cores of 10cm vs. deeper sampling strategies using extraction solutions). Spatial bias: Certain countries were sampled more in depth than other countries (e.g. Germany or Great Britain vs. Poland), but there have also been differences in sampling intensity within countries (e.g., low intensity in Italy vs. high in France vs. clustered sampling in Spain). Temporal bias: Occurrences were recorded between 1970 and 2022 (mean: 2004, median: 2007), that may include climate variation and land-use changes. We accounted for temporal changes by weighing more recent records stronger in our models."
